document	label
illsee is a natural lake used as a reservoir above sierre in the valais switzerland. its surface area is 0.21 km². template:portal:switzerland/stub	

vestindisk pakhus (english: west india warehouse) located on tolbodgade on the waterfront between amalienborg palace and langelinie is a former 18th-century warehouse in copenhagen denmark. it was designed by caspar frederik harsdorff and built from 1780 to 1781 for the danish west india company a chartered company responsible for trade on the danish west indies.	 
nidagal is a village in belgaum district in the southwestern state of karnataka india.	 
the pasayten river is a tributary of the similkameen river in the canadian province of british columbia and the u.s. state of washington.the pasayten river is part of the columbia river drainage basin being a tributary of the similkameen river which flows into the okanagan river which flows into the columbia river.	 
rajendrasinh ghanshyamsinh rana (born may 22 1956) is a member of the 14th lok sabha of india. he represents the bhavnagar constituency of gujarat and is a member of the bharatiya janata party.	 
axis bank limited (formerly uti bank) is the third largest private sector bank in india. it offers financial services to customer segments covering large and mid-corporates msme agriculture and retail businesses. axis bank has its headquarters in mumbai maharashtra.	 
the heart river is a 4.8-mile-long (7.7 km) river in the u.s. state of wyoming tributary to the snake river. its entire course is contained inside yellowstone national park. the river rises on the continental divide in the rocky mountains a few miles southeast of yellowstone lake. its headwater streams flow into heart lake from whose southeastern end the main heart river issues receiving two tributary streams from the northeast and flowing southwest into a short but steep gorge.	 
luke harangody (born january 2 1988) is an american professional basketball player who currently plays for unics kazan in russia. harangody completed his college career at the university of notre dame in 2010. he is the only men's player in the history of the big east conference to average 20 points and 10 rebounds per game in conference play for his career. he was the 2008 big east player of the year and was named to the second team on the 2008 associated press all-america team.	 
gilmore's camp is located on the california side of the colorado river between blythe california and yuma arizona.	 
kvarkush (russian: кваркуш) is a mountain range in north ural in perm krai russia. located in the basin of vishera river between uls river and upstreams of yayva river. its highland swamps are source of many rivers and streams. it stretches from north to south. its length is about 60 km width is 12 – 15 km. highest point is mount vogulsky kamen (1066 m).	 
charvadeh (persian: چروده‎ also romanized as cherū deh; also known as charvadeh-e pā‘īn) is a village in yeylaqi-ye ardeh rural district pareh sar district rezvanshahr county gilan province iran. at the 2006 census its population was 186 in 44 families.	.
the amur stickleback (pungitius sinensis) is a species of fish in the family gasterosteidae. this freshwater brackish water or marine benthopelagic fish is usually 6.5 cm (up to 9 cm) in length. it is widespread in asia: off the korean peninsula japan the kuril islands the kamchatka peninsula and the basin of the amur river.	.
the spectacled flying fox (pteropus conspicillatus) also known as the spectacled fruit bat is a megabat that lives in australia's north-eastern regions of queensland. it is also found in new guinea and on the offshore islands including woodlark island alcester island kiriwina and halmahera.the spectacled flying fox was listed as a threatened species under the commonwealth environment protection and biodiversity conservation act of 1991.	

tcdd mt5400 is a series of 20 diesel railcars operated by the turkish state railways. they were produced by société centrale de chemins de fer of france in 1954-55. also delivered were 30 trailers numbered mr401 through mr430.	2
albert noble rawson (october 1900 – 1949) was an english professional footballer born in west melton then in the west riding of yorkshire who played in the football league for sheffield united birmingham and barnsley. rawson a forward made his football league debut with sheffield united. he joined birmingham in february 1923 and scored in each of his first five games making a significant contribution to the club's remaining in the first division.	3
david belford west (may 7 1896 – september 11 1973) was an american football player. he was elected to the college football hall of fame in 1954.	9
apomodocia is an extinct genus from a well-known class of fossil marine arthropods the trilobites. it lived from 501 to 490 million years ago during the dresbachian faunal stage of the late cambrian period.	9
joe o'reilly (born 1 april 1955) is an irish fine gael politician. a former senator he was elected at the general election in february 2011 as a teachta dála (td) for the cavan–monaghan constituency.born in cootehill county cavan he was educated at st. aidan's comprehensive school cootehill; university college dublin; trinity college dublin; st patrick's college of education and the dublin institute of technology. o'reilly is a primary schoolteacher by profession.	5
göygöl (azerbaijani: göygöl literally the blue lake) is a natural impounded lake in azerbaijan. it is situated at the footsteps of murovdag not far from ganja.	 
radovan fuchs (born 5 september 1953) is a croatian scientist and former minister of science education and sport.fuchs paternal grandfather hinko was a grain merchant who emigrated to croatia from germany while his paternal grandmother eugenia was from hungary. the couple settled in croatian region of slavonia. his maternal grandparents were from vela luka. fuchs is of jewish descent.	 
james antony brayshaw (born 11 may 1967) is a former state cricketer and now australian television and radio personality. as a cricketer he was known as jamie brayshaw. he is the son of former western australian cricketer and australian rules footballer ian brayshaw and the brother of mark brayshaw a former kangaroos afl player. he is currently serving as chairman of the north melbourne football club as well as the melbourne renegades cricket team.	 
the kingston hill farm is a historic site at 549 old north road in south kingstown rhode island.the farm known also as the potter-peckham farm was built in 1810 and added to the national register of historic places in 1993.	 
campbell middle school is a public middle school in houston texas. the school belongs to the cypress-fairbanks independent school district. students from campbell feed into either cypress ridge high school or cypress creek high school.	 
adler volmar (born march 5 1977) is a haitian-american fourth-degree black belt judoka. a dual citizen he competed for haiti at the 1996 summer olympics and for the united states at the 2008 summer olympics.	3
mark okey is a democratic member of the ohio house of representatives for the 61st district. he first took office in 2007 and was re-elected in 2008 and 2010. he is not running for re-election in 2012. okey has a history degree from kent state university and a law degree from ohio northern university and is married with three children. he also works as an attorney in a legal practice founded by his father.	

mezhdusopochny is a snow-capped stratovolcano in the central kamchatka. the volcano has showed rare activity since 1292. the volcano's proximity is covered with other volcanoes and cinder cones.	2
goldbach is a river of lower saxony germany.	3
carex spectabilis is a species of sedge known by the common name showy sedge.	9
jayadevi jangamashetti (kannada: ಜಯದೇವಿ ಜ೦ಗಮಶೆಟ್ಟಿ) is a hindustani classical music vocalist of jaipur gwaliar gharana.	9
marion de vries (august 15 1865 – september 11 1939) was a united states representative from california a member of the board of general appraisers and a judge for the united states court of customs appeals.	6
somatina sublucens is a moth of the geometridae family. it is found in new guinea.	 
pierce-klingle mansion also known as linnaean hill is an historic house in rock creek park in washington d.c.. it has been listed on the district of columbia inventory of historic sites since 1964 and it was listed on the national register of historic places in 1973. it is a contributing property in the rock creek park historic district.	 
lon morris college (lmc) was a private junior college located in jacksonville texas united states and was the only school affiliated with the united methodist church that was owned by an individual conference and not the denomination as a whole. lon morris was an accredited two-year institute of higher learning which provides instruction in the arts and sciences with a core curriculum emphasizing liberal arts.	 
duryunsan is a mountain of jeollanam-do western south korea. it has an elevation of 700 metres.	 
venna lake is one of the major tourist attractions of mahabaleshwar in maharashtra state in india. the lake was constructed by shri appasaheb maharaj who was raja of satara in the year 1842. the lake is surrounded by trees on all sides. tourists can enjoy a boat ride over the lake or a horse ride next to the lake. a number of small eateries line the banks of the lake. the mahabaleshwar city market and the s.t. bus stand is about 2km from the lake and makes for a nice walk during the day.	1
james r. jim matthews is an american politician from the state of pennsylvania and is a member of the republican party. he is a former member of the board of commissioners of montgomery county pennsylvania and was the unsuccessful 2006 republican nominee for lieutenant governor of pennsylvania as lynn swann's running mate.	0
the windstar yf-80 is an american single seat homebuilt replica of the lockheed f-80.	

john e. moore is an american politician. in 2002 he was elected on the democratic party ticket as the running mate of governor kathleen sebelius; he assumed office as the 46th lieutenant governor of kansas on january 13 2003. in 2006 moore chose not to seek re-election.	2
anoiapithecus is an extinct genus of ape thought to be closely related to dryopithecus. both genera lived during the miocene approximately 12 million years ago. fossil specimens named by salvador moyà-solà anoiapithecus brevirostris are known from deposits from spain.the discoverers describe anoiapithecus brevirostris as a hominoid (superfamily hominoidea) in the dryopithecine tribe.	3
stemcell technologies is a privately held global biotechnology company headquartered in vancouver british columbia canada. the company develops and markets specialized cell culture media cell separation products instruments and other reagents for life sciences research. founded by allen eaves in 1993 stemcell technologies currently has more than 500 employees and distributes over 1500 products and was declared the largest life sciences company in british columbia in 2012.	9
lead mosque (albanian: xhamia e plumbit) is a historical mosque in shkodër northwestern albania. it is located on a small lake and is not functional.it took the name lead mosque because all of its cupolas were covered with lead.	9
the nigua river (arroyo puerto rico) is a river of puerto rico.	7
hittanagi is a village in belgaum district in the southern state of karnataka india.	 
tumkur university was established in 2004 in tumkur karnataka india. it was carved out of bangalore university to accommodate the needs of the students from tumkur district. established under the karnataka state universities act 2000 as a multi-faculty university it has 12 postgraduate departments 2 constituent colleges and 94 affiliated colleges. it has established 29 research centres to promote advanced multi-disciplinary research and academic collaborations.	 
buddleja madagascariensis also known as smokebush is an evergreen shrub endemic to madagascar where it grows amongst scrub on mountain slopes to elevations of 600–2000 metres (2000–6600 ft). the species was first named and described by lamarck in 1792 and introduced to cultivation in 1827. popular around the world as an ornamental b.	 
xylinophylla hypocausta is a moth of the geometridae family. it is found in peninsular malaysia singapore sumatra and borneo.the species has been treated as a subspecies of xylinophylla maculate for some time.the larvae feed on aleurites moluccana.	 
for the former private school see craigmount school.craigmount high school is a non-denominational secondary school in edinburgh scotland with 1400 pupils located in the west of edinburgh scotland. it is situated between corstorphine east craigs and drumbrae and it moved into new premises at the beginning of the 2003 academic year. the current headteacher is dr. john campbell.	 
trevor john hedge (born 3 august 1943 in diss norfolk england) is a former international speedway rider who reached the final of thespeedway world championship in 1970. he also won the london riders' championship twice in succession in 1969 and 1970 and won of the prestigious w.d & h.o wills internationale in 1969.before taking up speedway hedge was a cycle speedway champion.	3
saint thomas more high school is a private roman catholic high school in milwaukee wisconsin. it is in the roman catholic archdiocese of milwaukee.	

malate church (formally known as malate catholic church) is a church in manila philippines. it is a baroque-style church which faces the rajah sulaiman park and beyond manila bay. the church is dedicated to nuestra señora de remedios (our lady of remedies) the patroness of childbirth. a revered statue of the virgin mary in her role as our lady of remedies was brought from spain in 1624 and stands at the altar.	2
the nervastella is a large automobile constructed by renault between 1930 and 1937.	3
shirley armstrong (born 14 august 1930) is an irish fencer. she competed in the women's individual foil event at the 1960 summer olympics for the republic of ireland.	9
lake matano (indonesian: danau matano) also known as matana is a natural lake in south sulawesi indonesia. with a depth of 590 m (1940 ft) it is the deepest lake in indonesia (ranked by maximum depth) and the 10th deepest lake in the world. the surface elevation from mean sea level is only 382 m (1253 ft) which means that the deepest portion of the lake is below sea level (cryptodepression). it is one of the two major lakes (the other being lake towuti) in the malili lake system.	9
ternopil volodymyr hnatyuk national pedagogical university (commonly referred to as tnpu) is a university located in ternopil ukraine.named after the ukrainian ethnographer volodymyr hnatiuk tnpu is one of the most famous pedagogical universities in ukraine. founded as the kremenetskii lyceum in 1805 by alexander i and reopened as a teaching college in 1940 the college is one of the oldest universities in the western region of ukraine.	8
ron garney is a comic book writer/artist known for his work on books such as jlathe amazing spider-man silver surfer hulk daredevil and captain america.	 
clemence dane was the pseudonym of winifred ashton (21 february 1888 – 28 march 1965) an english novelist and playwright.	 
rachhpal singh is an indian politician and the present minister for planning in the government of west bengal. he is also an mla elected from the tarakeswar constituency in the west bengal state assembly election 2011.	 
youssef hocine (born 7 august 1965) is a french fencer. he competed in the team foil events at the 1988 and 1992 summer olympics.	 
guillermo riveros conejeros (10 february 1902 - 8 october 1959) was an chilean football defender.	1
sangatikoppa is a village in dharwad district in the southwestern state of karnataka india.	0
the siai s.13 was an italian 1910s reconnaissance flying-boat.	

makita corporation (tyo: 6586 otc pink: mktay) is a manufacturer of professional and consumer power tools. founded in 1915 it is based in anjō japan and operates factories in brazil canada china japan mexico romania the united kingdom and the united states. annual sales were equivalent to $2.9 billion in 2012.in january 2004 makita announced the release of two new batteries with l.e.d. lights to join the eluminate<tm> series.	2
matt devlin moussilou massamba (born 1 june 1982 in paris) is a french-born congolese footballer who plays for club africain as a striker. he has been capped by congo at international level.	3
the pomilio pe was a first world war italian armed reconnaissance biplane designed and built by the pomilio brothers. it was developed from the earlier pomilio pc and pd.	9
ljubovčići is a village in the municipality of hadžići bosnia and herzegovina.	9
serrano bou born in 1952 in blanes (costa brava spain) is a professional painter and visual artist.	9
chlenias banksiaria is a moth of the geometridae family. it is found in the australian capital territory new south wales victoria and tasmania.the larvae have been recorded feeding on many species of unrelated plants and has also adapted to feeding on the introduced pinus radiata.	 
scarlet's hidden treasures is an ep that accompanied the welcome to sunny florida live dvd set released by singer/songwriter tori amos in 2004. the ep features six non-lp tracks though several were featured on a web project called scarlet's web (see scarlet's walk for further information on the web project). apollo's frock was written during the boys for pele era and early performances of the song date back almost a decade earlier in 1996.	 
the river styx is a river in georgia.	 
stobierna [stɔˈbjɛrna] is a village in the administrative district of gmina dębica within dębica county subcarpathian voivodeship in south-eastern poland. it lies approximately 6 kilometres (4 mi) east of dębica and 37 km (23 mi) west of the regional capital rzeszów.the village has an approximate population of 1500.	 
double helix games llc is an american video game developer based in irvine california founded in 2007 through two mergers of foundation 9 studios the collective and shiny entertainment. the studio was acquired by amazon.com inc. on february 5 2014. the studio's first release was silent hill: homecoming for the playstation 3 and the xbox 360.	 
chestnut hill college is a coeducational roman catholic college in the chestnut hill section of philadelphia pennsylvania usa. it was founded in 1924 as a women's college by the sisters of st. joseph. it was originally named mount saint joseph college. in 1980 the college established a coeducational graduate education program and started to admit male students to its undergraduate programs in 2003.	6
the maiad river (hungarian: nyomát hungarian pronunciation: [ˈɲomaːt]) is a tributary of the niraj river in romania.	

24hr homecare is an el segundo california-based company that provides non-medical home care for the elderly and children with disabilities. the company was founded in 2008 by david allerby ryan iwamoto and tyner brennenman-slay. 24hr homecare was ranked 27 on forbes’ 2013 america’s most promising companies list. it was also included on inc.’s inc. 5000 list for the same year.david allerby serves as 24hr homecare’s ceo. as of 2013 the company has eight locations in california.	N
st. james episcopal church mill creek also known as st. james church or st. james church stanton is an historic episcopal church located at 2106 st. james church road in stanton mill creek hundred near wilmington delaware. it was built between 1820 and 1823 and is a rectangular stone building with a rounded apsidal chancel projecting from the north wall. it replaced an earlier frame church that burned in 1820.	a
the j. c. adams stone barn is a historic romanesque revival barn constructed of stone and wood located about 1 mile (1.6 km) northeast of the town of sun river montana in the united states. it is just south of u.s. route 89. it is the only romanesque revival stone barn in the united states located west of the mississippi river.	m
as established by c.s. rafinesque parmentiera is nowadays a synonym of solanum.parmentiera is a genus of plant in family bignoniaceae. species include: parmentiera cereifera parmentiera dressleri a. gentry parmentiera edulis (parmentiera aculeata) dc. (candle tree) parmentiera morii a. gentry parmentiera stenocarpa dugand & l. b. smith	e
tommaso salini (1575–1625) was an italian painter of the early-baroque period active in rome. he is best remembered for defending his friend giovanni baglione in his libel suit against caravaggio and other painters in his circle. baglioni describes his still life paintings. he joined the accademia di san luca in 1605.	:
dash band (persian: داش بند‎ also romanized as dāsh band) is a village in akhtachi-ye sharqi rural district simmineh district bukan county west azerbaijan province iran. at the 2006 census its population was 1801 in 353 families.	 
dr. monika karas (born 1960s) is a hungarian journalist and jurist who has been president of the national media and infocommunications authority (nmhh) since 19 august 2013.	l
s4bb limited is an app development company based in hong kong.	a
sicyopus is a genus of goby native to africa asia and oceania.	b
hyeongjebong is a mountain of south korea. it has an elevation of 1778 metres.	e
yıldıray çınar is a comic book artist known for his work on the american comic book noble causes.	l
voljavica is a village in the municipality of bratunac bosnia and herzegovina.	,
ophicardelus costellaris is a species of small air-breathing land snail or salt marsh snail a terrestrial pulmonate gastropod mollusc in the family ellobiidae.	 
range lake north school is an elementary/middle school in yellowknife northwest territories canada operated by yellowknife education district no. 1. the school is named for its geographic location.range lake offers a grade 6 intensive french immersion program and a pre-school user-pay program.	L
company lake is a lake of inverness county in north-western nova scotia canada.	e
the goshute valley is an endorheic landform of the great basin. the towns of oasis and cobre are in the valley's north and the central and north of the valley contains broken flatlands with short washes draining from the surrounding mountain ranges. interstate 80 crosses the valley and has a junction with state route 233 at oasis.	n
deon saffery (born 28 january 1988) is a professional squash player who represented england as a junior but plays for wales as a senior. she reached a career-high world ranking of world no. 52 in september 2009.	g
zhang chi (simplified chinese: 张弛; traditional chinese: 張弛; pinyin: zhāng chí; born 8 july 1987 in jinan shandong) is a chinese footballer who currently plays for shandong luneng in the chinese super league.	t
the great mall of the bay area (often simply called the great mall) is a large indoor outlet shopping mall in milpitas california built by ford motor land development and petrie dierman kughn in 1994 then acquired by mills corporation in 2003 and is now owned by the simon property group since april 2007. it contains approximately 1.4 million square feet of gross leaseable area.	h
easy listening for iron youth: the best of non is a 1991 compilation album of boyd rice's non recordings. it is a best of collection from 1975–1991.it was released by mute records (uk) on cd and an ultra-limited lp (without tracks 14–16).	:
acorn corner historically known as the franklin hotel is a six-story historic building in kent ohio united states listed on the national register of historic places since january 2013. construction started in 1919 and the hotel opened in september 1920. the hotel was also known as the hotel kent and later the hotel kent-ellis. locally it is often referred to as the old kent hotel kent hotel or the old hotel.	 
meliscaeva cinctella is a europen and north american species of hoverfly.	2
lee jackson (born 8 january 1943) is an english bass guitarist and singer-songwriter known for his work in the nice an english progressive-rock band.	4
mazraeh-ye hajji abdollah (persian: مزرعه حاجي عبداله‎ also romanized as mazra‘eh-ye ḩājjī ‘abdollah) is a village in khvormiz rural district in the central district of mehriz county yazd province iran. at the 2006 census its population was 109 in 36 families.	0
mangelia indistincta is a species of sea snail a marine gastropod mollusk in the family mangeliidae.	0
yuri gagarin secondary school (russian: средняя школа имени юрия гагарина; kyrgyz: юрий гагарин атындагы орто мектеби) is a secondary school in isfana kyrgyzstan. although the school is called a secondary school it offers classes for grades 1 through 11. at gagarin secondary school classes are taught in kyrgyz and russian. the school is named after the russian astronaut yuri gagarin. the current building of the school was completed in 1966.	0
